year,n_scored,online_concrete_coverage,exact_accuracy_including_abstention,conditional_accuracy_when_online_concrete,balanced_accuracy_4state,macro_f1_4state,min_state_support,symbol
2015,3106,0.5260785576303928,0.3963296844816484,0.7533659730722154,0.3527142021204958,0.4511138989405419,368,000852.SH
2016,2679,0.47069802164986935,0.3680477790220231,0.781919111816019,0.3388074103736647,0.44679070604937965,440,000852.SH
2017,3116,0.4865211810012837,0.3616816431322208,0.7434036939313984,0.32434513998340975,0.4267806959289001,369,000852.SH
2018,3227,0.562751781840719,0.4223737217229625,0.7505506607929515,0.3992806597078441,0.4926340130061828,417,000852.SH
2019,3038,0.5230414746543779,0.38117182356813695,0.7287602265575834,0.37117396844136324,0.46838795732611316,421,000852.SH
2020,3201,0.542330521711965,0.4042486722899094,0.7453917050691244,0.37298202210410347,0.463915798383177,444,000852.SH
2021,3291,0.5515041020966271,0.40929808568824066,0.7421487603305785,0.4070804693917113,0.4927032348225622,545,000852.SH
2022,3047,0.516245487364621,0.3567443386937972,0.6910362364907819,0.36274127122804667,0.44962248558007434,600,000852.SH
2023,3105,0.5243156199677939,0.3851851851851852,0.7346437346437347,0.3816123570148561,0.4816856696892231,560,000852.SH
2024,2997,0.5098431765098431,0.3663663663663664,0.7185863874345549,0.3647341778684593,0.46178598219822475,632,000852.SH
2025,2961,0.5065856129685917,0.3664302600472813,0.7233333333333334,0.3702375639211875,0.47299030093624916,681,000852.SH
2020,1163,0.5124677558039553,0.34909716251074807,0.6812080536912751,0.3844067890542488,0.46733566799145154,147,000688.SH
2021,2893,0.5171102661596958,0.3695126166609056,0.714572192513369,0.41276520331273725,0.4880104586395431,442,000688.SH
2022,2818,0.5060326472675657,0.34102200141944644,0.6739130434782609,0.37194055417744165,0.4510344553078579,470,000688.SH
2023,3167,0.5093148089674772,0.37701294600568364,0.7402355858648481,0.38721795617164645,0.4957151532426671,617,000688.SH
2024,3056,0.5317408376963351,0.3730366492146597,0.7015384615384616,0.3817022461705172,0.4751396043950521,574,000688.SH
2025,2832,0.4964689265536723,0.3435734463276836,0.6920341394025604,0.34881353132460147,0.4429162741199067,527,000688.SH
